	Count	Standard_1	Standard_2	K562_Fishman-Gridina_ExoCBel	K562_Fishman-Gridina_Quarantine
0000000001	339589	0	0	0	1
0000000010	1115594	0	0	1	0
0000000011	14455	0	0	1	1
0000000100	134049	0	0	0	0
0000000101	18516	0	0	0	1
0000000110	10297	0	0	1	0
0000000111	3589	0	0	1	1
0000001000	35131	0	0	0	0
0000001001	1099	0	0	0	1
0000001010	1132	0	0	1	0
0000001011	216	0	0	1	1
0000001100	2922	0	0	0	0
0000001101	746	0	0	0	1
0000001110	339	0	0	1	0
0000001111	176	0	0	1	1
0000010000	88463	0	0	0	0
0000010001	445	0	0	0	1
0000010010	657	0	0	1	0
0000010011	59	0	0	1	1
0000010100	896	0	0	0	0
0000010101	104	0	0	0	1
0000010110	51	0	0	1	0
0000010111	31	0	0	1	1
0000011000	943	0	0	0	0
0000011001	50	0	0	0	1
0000011010	85	0	0	1	0
0000011011	9	0	0	1	1
0000011100	334	0	0	0	0
0000011101	29	0	0	0	1
0000011110	19	0	0	1	0
0000011111	3	0	0	1	1
0000100000	306129	0	0	0	0
0000100001	6882	0	0	0	1
0000100010	5597	0	0	1	0
0000100011	1900	0	0	1	1
0000100100	16739	0	0	0	0
0000100101	7410	0	0	0	1
0000100110	3791	0	0	1	0
0000100111	2798	0	0	1	1
0000101000	783	0	0	0	0
0000101001	180	0	0	0	1
0000101010	154	0	0	1	0
0000101011	65	0	0	1	1
0000101100	1646	0	0	0	0
0000101101	1095	0	0	0	1
0000101110	359	0	0	1	0
0000101111	294	0	0	1	1
0000110000	3636	0	0	0	0
0000110001	90	0	0	0	1
0000110010	109	0	0	1	0
0000110011	33	0	0	1	1
0000110100	939	0	0	0	0
0000110101	545	0	0	0	1
0000110110	180	0	0	1	0
0000110111	191	0	0	1	1
0000111000	81	0	0	0	0
0000111001	19	0	0	0	1
0000111010	26	0	0	1	0
0000111011	6	0	0	1	1
0000111100	409	0	0	0	0
0000111101	246	0	0	0	1
0000111110	88	0	0	1	0
0000111111	77	0	0	1	1
0001000000	62750	0	0	0	0
0001000001	2280	0	0	0	1
0001000010	2184	0	0	1	0
0001000011	464	0	0	1	1
0001000100	2450	0	0	0	0
0001000101	589	0	0	0	1
0001000110	372	0	0	1	0
0001000111	157	0	0	1	1
0001001000	1425	0	0	0	0
0001001001	130	0	0	0	1
0001001010	188	0	0	1	0
0001001011	55	0	0	1	1
0001001100	329	0	0	0	0
0001001101	61	0	0	0	1
0001001110	39	0	0	1	0
0001001111	33	0	0	1	1
0001010000	1804	0	0	0	0
0001010001	98	0	0	0	1
0001010010	120	0	0	1	0
0001010011	25	0	0	1	1
0001010100	223	0	0	0	0
0001010101	35	0	0	0	1
0001010110	22	0	0	1	0
0001010111	11	0	0	1	1
0001011000	386	0	0	0	0
0001011001	39	0	0	0	1
0001011010	57	0	0	1	0
0001011011	21	0	0	1	1
0001011100	154	0	0	0	0
0001011101	15	0	0	0	1
0001011110	14	0	0	1	0
0001011111	8	0	0	1	1
0001100000	6487	0	0	0	0
0001100001	397	0	0	0	1
0001100010	367	0	0	1	0
0001100011	174	0	0	1	1
0001100100	2115	0	0	0	0
0001100101	1276	0	0	0	1
0001100110	566	0	0	1	0
0001100111	571	0	0	1	1
0001101000	242	0	0	0	0
0001101001	66	0	0	0	1
0001101010	84	0	0	1	0
0001101011	40	0	0	1	1
0001101100	693	0	0	0	0
0001101101	490	0	0	0	1
0001101110	148	0	0	1	0
0001101111	197	0	0	1	1
0001110000	620	0	0	0	0
0001110001	47	0	0	0	1
0001110010	75	0	0	1	0
0001110011	30	0	0	1	1
0001110100	785	0	0	0	0
0001110101	569	0	0	0	1
0001110110	154	0	0	1	0
0001110111	167	0	0	1	1
0001111000	127	0	0	0	0
0001111001	27	0	0	0	1
0001111010	67	0	0	1	0
0001111011	20	0	0	1	1
0001111100	483	0	0	0	0
0001111101	360	0	0	0	1
0001111110	93	0	0	1	0
0001111111	114	0	0	1	1
0010000000	259743	0	0	0	0
0010000001	47144	0	0	0	1
0010000010	10597	0	0	1	0
0010000011	9700	0	0	1	1
0010000100	148859	0	0	0	0
0010000101	99316	0	0	0	1
0010000110	19939	0	0	1	0
0010000111	34015	0	0	1	1
0010001000	772	0	0	0	0
0010001001	448	0	0	0	1
0010001010	144	0	0	1	0
0010001011	194	0	0	1	1
0010001100	29471	0	0	0	0
0010001101	60728	0	0	0	1
0010001110	6709	0	0	1	0
0010001111	31096	0	0	1	1
0010010000	992	0	0	0	0
0010010001	322	0	0	0	1
0010010010	107	0	0	1	0
0010010011	104	0	0	1	1
0010010100	1022	0	0	0	0
0010010101	945	0	0	0	1
0010010110	174	0	0	1	0
0010010111	419	0	0	1	1
0010011000	45	0	0	0	0
0010011001	20	0	0	0	1
0010011010	8	0	0	1	0
0010011011	15	0	0	1	1
0010011100	641	0	0	0	0
0010011101	1604	0	0	0	1
0010011110	134	0	0	1	0
0010011111	1183	0	0	1	1
0010100000	53848	0	0	0	0
0010100001	26494	0	0	0	1
0010100010	6045	0	0	1	0
0010100011	10341	0	0	1	1
0010100100	177063	0	0	0	0
0010100101	240469	0	0	0	1
0010100110	62805	0	0	1	0
0010100111	189243	0	0	1	1
0010101000	306	0	0	0	0
0010101001	303	0	0	0	1
0010101010	122	0	0	1	0
0010101011	224	0	0	1	1
0010101100	49884	0	0	0	0
0010101101	131607	0	0	0	1
0010101110	15310	0	0	1	0
0010101111	102019	0	0	1	1
0010110000	1850	0	0	0	0
0010110001	1066	0	0	0	1
0010110010	213	0	0	1	0
0010110011	507	0	0	1	1
0010110100	19749	0	0	0	0
0010110101	26564	0	0	0	1
0010110110	5572	0	0	1	0
0010110111	17647	0	0	1	1
0010111000	25	0	0	0	0
0010111001	40	0	0	0	1
0010111010	10	0	0	1	0
0010111011	40	0	0	1	1
0010111100	14937	0	0	0	0
0010111101	33959	0	0	0	1
0010111110	4292	0	0	1	0
0010111111	24779	0	0	1	1
0011000000	2217	0	0	0	0
0011000001	937	0	0	0	1
0011000010	278	0	0	1	0
0011000011	329	0	0	1	1
0011000100	3149	0	0	0	0
0011000101	2998	0	0	0	1
0011000110	737	0	0	1	0
0011000111	1524	0	0	1	1
0011001000	128	0	0	0	0
0011001001	66	0	0	0	1
0011001010	40	0	0	1	0
0011001011	39	0	0	1	1
0011001100	1346	0	0	0	0
0011001101	2814	0	0	0	1
0011001110	400	0	0	1	0
0011001111	2021	0	0	1	1
0011010000	154	0	0	0	0
0011010001	71	0	0	0	1
0011010010	28	0	0	1	0
0011010011	39	0	0	1	1
0011010100	322	0	0	0	0
0011010101	277	0	0	0	1
0011010110	65	0	0	1	0
0011010111	124	0	0	1	1
0011011000	38	0	0	0	0
0011011001	28	0	0	0	1
0011011010	20	0	0	1	0
0011011011	13	0	0	1	1
0011011100	245	0	0	0	0
0011011101	395	0	0	0	1
0011011110	41	0	0	1	0
0011011111	309	0	0	1	1
0011100000	3759	0	0	0	0
0011100001	2782	0	0	0	1
0011100010	575	0	0	1	0
0011100011	1690	0	0	1	1
0011100100	48231	0	0	0	0
0011100101	88423	0	0	0	1
0011100110	19271	0	0	1	0
0011100111	96477	0	0	1	1
0011101000	125	0	0	0	0
0011101001	153	0	0	0	1
0011101010	54	0	0	1	0
0011101011	155	0	0	1	1
0011101100	35038	0	0	0	0
0011101101	116660	0	0	0	1
0011101110	12275	0	0	1	0
0011101111	103041	0	0	1	1
0011110000	561	0	0	0	0
0011110001	561	0	0	0	1
0011110010	124	0	0	1	0
0011110011	423	0	0	1	1
0011110100	30872	0	0	0	0
0011110101	63603	0	0	0	1
0011110110	9639	0	0	1	0
0011110111	51418	0	0	1	1
0011111000	64	0	0	0	0
0011111001	81	0	0	0	1
0011111010	41	0	0	1	0
0011111011	89	0	0	1	1
0011111100	42168	0	0	0	0
0011111101	171819	0	0	0	1
0011111110	15904	0	0	1	0
0011111111	163844	0	0	1	1
0100000000	25429	0	0	0	0
0100000001	777	0	0	0	1
0100000010	913	0	0	1	0
0100000011	246	0	0	1	1
0100000100	923	0	0	0	0
0100000101	246	0	0	0	1
0100000110	181	0	0	1	0
0100000111	97	0	0	1	1
0100001000	197	0	0	0	0
0100001001	25	0	0	0	1
0100001010	36	0	0	1	0
0100001011	15	0	0	1	1
0100001100	62	0	0	0	0
0100001101	16	0	0	0	1
0100001110	14	0	0	1	0
0100001111	11	0	0	1	1
0100010000	220	0	0	0	0
0100010001	18	0	0	0	1
0100010010	21	0	0	1	0
0100010011	6	0	0	1	1
0100010100	48	0	0	0	0
0100010101	17	0	0	0	1
0100010110	5	0	0	1	0
0100010111	3	0	0	1	1
0100011000	52	0	0	0	0
0100011001	11	0	0	0	1
0100011010	12	0	0	1	0
0100011011	2	0	0	1	1
0100011100	19	0	0	0	0
0100011101	5	0	0	0	1
0100011110	2	0	0	1	0
0100011111	2	0	0	1	1
0100100000	1751	0	0	0	0
0100100001	257	0	0	0	1
0100100010	290	0	0	1	0
0100100011	160	0	0	1	1
0100100100	807	0	0	0	0
0100100101	591	0	0	0	1
0100100110	344	0	0	1	0
0100100111	397	0	0	1	1
0100101000	38	0	0	0	0
0100101001	10	0	0	0	1
0100101010	8	0	0	1	0
0100101011	9	0	0	1	1
0100101100	131	0	0	0	0
0100101101	123	0	0	0	1
0100101110	42	0	0	1	0
0100101111	49	0	0	1	1
0100110000	66	0	0	0	0
0100110001	13	0	0	0	1
0100110010	18	0	0	1	0
0100110011	10	0	0	1	1
0100110100	157	0	0	0	0
0100110101	153	0	0	0	1
0100110110	53	0	0	1	0
0100110111	47	0	0	1	1
0100111000	12	0	0	0	0
0100111001	3	0	0	0	1
0100111010	13	0	0	1	0
0100111011	3	0	0	1	1
0100111100	87	0	0	0	0
0100111101	101	0	0	0	1
0100111110	30	0	0	1	0
0100111111	29	0	0	1	1
0101000000	513	0	0	0	0
0101000001	80	0	0	0	1
0101000010	97	0	0	1	0
0101000011	36	0	0	1	1
0101000100	80	0	0	0	0
0101000101	33	0	0	0	1
0101000110	24	0	0	1	0
0101000111	16	0	0	1	1
0101001000	69	0	0	0	0
0101001001	10	0	0	0	1
0101001010	31	0	0	1	0
0101001011	16	0	0	1	1
0101001100	26	0	0	0	0
0101001101	8	0	0	0	1
0101001110	9	0	0	1	0
0101001111	7	0	0	1	1
0101010000	84	0	0	0	0
0101010001	11	0	0	0	1
0101010010	19	0	0	1	0
0101010011	7	0	0	1	1
0101010100	35	0	0	0	0
0101010101	1	0	0	0	1
0101010110	3	0	0	1	0
0101010111	4	0	0	1	1
0101011000	51	0	0	0	0
0101011001	10	0	0	0	1
0101011010	11	0	0	1	0
0101011011	5	0	0	1	1
0101011100	22	0	0	0	0
0101011101	7	0	0	0	1
0101011110	4	0	0	1	0
0101011111	6	0	0	1	1
0101100000	252	0	0	0	0
0101100001	52	0	0	0	1
0101100010	83	0	0	1	0
0101100011	33	0	0	1	1
0101100100	268	0	0	0	0
0101100101	244	0	0	0	1
0101100110	119	0	0	1	0
0101100111	144	0	0	1	1
0101101000	38	0	0	0	0
0101101001	13	0	0	0	1
0101101010	19	0	0	1	0
0101101011	10	0	0	1	1
0101101100	129	0	0	0	0
0101101101	104	0	0	0	1
0101101110	47	0	0	1	0
0101101111	66	0	0	1	1
0101110000	58	0	0	0	0
0101110001	13	0	0	0	1
0101110010	22	0	0	1	0
0101110011	13	0	0	1	1
0101110100	209	0	0	0	0
0101110101	233	0	0	0	1
0101110110	58	0	0	1	0
0101110111	82	0	0	1	1
0101111000	24	0	0	0	0
0101111001	9	0	0	0	1
0101111010	13	0	0	1	0
0101111011	9	0	0	1	1
0101111100	134	0	0	0	0
0101111101	123	0	0	0	1
0101111110	31	0	0	1	0
0101111111	71	0	0	1	1
0110000000	999	0	0	0	0
0110000001	629	0	0	0	1
0110000010	238	0	0	1	0
0110000011	421	0	0	1	1
0110000100	1636	0	0	0	0
0110000101	1355	0	0	0	1
0110000110	344	0	0	1	0
0110000111	829	0	0	1	1
0110001000	19	0	0	0	0
0110001001	14	0	0	0	1
0110001010	20	0	0	1	0
0110001011	13	0	0	1	1
0110001100	111	0	0	0	0
0110001101	166	0	0	0	1
0110001110	39	0	0	1	0
0110001111	164	0	0	1	1
0110010000	21	0	0	0	0
0110010001	18	0	0	0	1
0110010010	6	0	0	1	0
0110010011	13	0	0	1	1
0110010100	67	0	0	0	0
0110010101	63	0	0	0	1
0110010110	6	0	0	1	0
0110010111	46	0	0	1	1
0110011000	3	0	0	0	0
0110011001	3	0	0	0	1
0110011010	5	0	0	1	0
0110011011	3	0	0	1	1
0110011100	29	0	0	0	0
0110011101	36	0	0	0	1
0110011110	10	0	0	1	0
0110011111	28	0	0	1	1
0110100000	1128	0	0	0	0
0110100001	1454	0	0	0	1
0110100010	391	0	0	1	0
0110100011	1499	0	0	1	1
0110100100	17093	0	0	0	0
0110100101	36784	0	0	0	1
0110100110	11954	0	0	1	0
0110100111	70427	0	0	1	1
0110101000	22	0	0	0	0
0110101001	32	0	0	0	1
0110101010	13	0	0	1	0
0110101011	47	0	0	1	1
0110101100	4527	0	0	0	0
0110101101	12036	0	0	0	1
0110101110	2254	0	0	1	0
0110101111	14750	0	0	1	1
0110110000	61	0	0	0	0
0110110001	85	0	0	0	1
0110110010	22	0	0	1	0
0110110011	126	0	0	1	1
0110110100	5105	0	0	0	0
0110110101	10576	0	0	0	1
0110110110	2214	0	0	1	0
0110110111	13486	0	0	1	1
0110111000	8	0	0	0	0
0110111001	9	0	0	0	1
0110111010	10	0	0	1	0
0110111011	24	0	0	1	1
0110111100	5230	0	0	0	0
0110111101	18416	0	0	0	1
0110111110	2475	0	0	1	0
0110111111	20886	0	0	1	1
0111000000	83	0	0	0	0
0111000001	81	0	0	0	1
0111000010	41	0	0	1	0
0111000011	60	0	0	1	1
0111000100	167	0	0	0	0
0111000101	205	0	0	0	1
0111000110	80	0	0	1	0
0111000111	250	0	0	1	1
0111001000	15	0	0	0	0
0111001001	9	0	0	0	1
0111001010	6	0	0	1	0
0111001011	13	0	0	1	1
0111001100	51	0	0	0	0
0111001101	118	0	0	0	1
0111001110	26	0	0	1	0
0111001111	241	0	0	1	1
0111010000	15	0	0	0	0
0111010001	10	0	0	0	1
0111010010	5	0	0	1	0
0111010011	14	0	0	1	1
0111010100	36	0	0	0	0
0111010101	45	0	0	0	1
0111010110	11	0	0	1	0
0111010111	40	0	0	1	1
0111011000	4	0	0	0	0
0111011001	7	0	0	0	1
0111011010	3	0	0	1	0
0111011011	6	0	0	1	1
0111011100	33	0	0	0	0
